paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,human urethral luminal cells,,human,false,PSCA,author_declared,,positive,,formal_candidate,Results 3.5,We previously established PSCA as a highly specific cell surface marker capable of capturing a 94% pure population of urethral luminal cells in humans.,pending,,,
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,prostate secretory luminal cells,,mouse,false,CD24,author_declared,,positive,,formal_candidate,Results 3.3,"cell surface marker CD24 (Cd24a) labels prostate luminal cells, but also luminal cells of the ejaculatory ducts and urethra",pending,,,
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,basal epithelial cells,,mouse,false,KRT5,cluster_enriched,figure_labeled,positive,,context_only,Fig.2A legend,"KRT5 (in green, labels basal cells)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,basal epithelial cells,,human,false,KRT5,cluster_enriched,figure_labeled,positive,,context_only,Fig.2B legend,"KRT5 (in green, labels basal cells)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,basal epithelial cells,,mouse,false,PDPN,cluster_enriched,annotation_marker,positive,,context_only,Results 3.3 / Methods 2.4,"epithelia are gated into prostate secretory luminal (CD26+), basal (PDPN+), and nonbasal/nonprostate luminal (PDPN-/CD26-)",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,basal epithelial cells,,mouse,false,Tp63,cluster_enriched,,positive,,context_only,Results 3.1,mouse basal cell cluster ... enriched for Krt5 and Tp63 transcripts,excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,club urethral luminal cells,club,human,false,SCGB1A1,cluster_enriched,author_declared,positive,,context_only,Results 3.4,"club and hillock urethral luminal cells marked by SCGB1A1 and KRT13, respectively",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,epithelial cells,,mouse,false,CD326,cluster_enriched,annotation_marker,positive,,context_only,Results 3.3 / Methods 2.4,epithelia (CD326+),excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,hillock urethral luminal cells,hillock,human,false,KRT13,cluster_enriched,author_declared,positive,,context_only,Results 3.4,"club and hillock urethral luminal cells marked by SCGB1A1 and KRT13, respectively",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1002_pros.24020,DOI_10.1002_pros.24020,primary,leukocytes,,mouse,false,CD45,cluster_enriched,annotation_marker,positive,,context_only,Results 3.3 / Methods 2.4,scheme first separates leukocytes (CD45+),excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
