paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1016_j.stem.2022.11.013,18,unresolved,myofibroblasts,NOTUM+,human,false,NOTUM,NOTUM,exact,annotation_marker,positive,Highlights,NOTUM+ myofibroblasts spatially pattern differentiating human alveolar-type-2 cells,0.875,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,human lung tip progenitors,,human,false,SOX9,SOX9,exact,annotation_marker,positive,"Introduction, paragraph 2",SOX9+ human lung tip progenitors acquire an AT2 gene expression signature by 15 pcw,0.9167,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,human lung tip progenitors,,human,false,SOX2,SOX2,exact,annotation_marker,positive,"Introduction, paragraph 2",The human tip epithelium is SOX9/SOX2 dual-positive during airway branching,0.875,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,tip progenitor cells,distal tip epithelium,human,false,SOX9,SOX9,exact,author_declared,positive,"Results, first paragraph","10–12 pcw distal tips were columnar and marked by SOX9, SOX2, and TPPP3.",1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,tip progenitor cells,distal tip epithelium,human,false,SOX2,SOX2,exact,author_declared,positive,"Results, first paragraph","10–12 pcw distal tips were columnar and marked by SOX9, SOX2, and TPPP3.",1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,tip progenitor cells,distal tip epithelium,human,false,TPPP3,TPPP3,exact,author_declared,positive,"Results, first paragraph","10–12 pcw distal tips were columnar and marked by SOX9, SOX2, and TPPP3.",1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,tip progenitor cells,distal tip epithelium,human,false,CD44,CD44,exact,author_declared,positive,"Results, surface-marker paragraph",CD44 marks tip epithelial cells across all stages of lung development tested.,1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,late-stage tip epithelial cells,alveolar-stage tip (CD44+CD36+),human,false,CD44,CD44,exact,author_declared,positive,"Results, surface-marker paragraph",dual expression of CD44 and CD36 marks the tip epithelial population in the 15–21 pcw stage lung,1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,late-stage tip epithelial cells,alveolar-stage tip (CD44+CD36+),human,false,CD36,CD36,exact,author_declared,positive,"Results, surface-marker paragraph","CD36 is specific to the ≥15–22 pcw stage tips where it is co-expressed with CD44, SFTPC and SOX9",1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,late-stage tip epithelial cells,alveolar-stage tip (CD44+CD36+),human,false,SFTPC,SFTPC,exact,author_declared,positive,"Results, first paragraph","late-stage tip cells co-expressed alveolar lineage markers, such as SFTPC, LAMP3, and SLC34A2",1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
DOI_10.1016_j.stem.2022.11.013,18,unresolved,late-stage tip epithelial cells,alveolar-stage tip (CD44+CD36+),human,false,LAMP3,LAMP3,exact,author_declared,positive,"Results, first paragraph","late-stage tip cells co-expressed alveolar lineage markers, such as SFTPC, LAMP3, and SLC34A2",1.0,True,exclude,非目标细胞类型；不属于 pulmonary neuroendocrine cell 范围
