paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1126_science.aat5031,22,no_formal_target_marker,monocyte-derived macrophages,CD11c+MHCII+CD14+,human,false,CD11c,ITGAX,alias_resolved,annotation_marker,positive,Results p.4,"expression of CD11c, major histocompatibility complex (MHC) class II molecules and CD14 identifies monocyte-derived macrophages",1.0,True,exclude,单核来源巨噬细胞不属于项目范围（target_cell_scope 未指定，且非 PNS/神经内分泌相关细胞）。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,monocyte-derived macrophages,CD11c+MHCII+CD14+,human,false,MHCII,MHCII,ambiguous,annotation_marker,positive,Results p.4,"expression of CD11c, major histocompatibility complex (MHC) class II molecules and CD14 identifies monocyte-derived macrophages",1.0,True,exclude,MHCII 是分子复合物/家族名而非唯一基因；且细胞类型不在项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,monocyte-derived macrophages,CD11c+MHCII+CD14+,human,false,CD14,CD14,exact,annotation_marker,positive,Results p.4,"expression of CD11c, major histocompatibility complex (MHC) class II molecules and CD14 identifies monocyte-derived macrophages",1.0,True,exclude,单核来源巨噬细胞不属于项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,classical myeloid DC (cDC),,human,false,CD11c,ITGAX,alias_resolved,annotation_marker,positive,Results p.4,CD11c+/MHCII+/CD14- are classical myeloid DC (cDC),1.0,True,exclude,经典髓样 DC 不属于项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,classical myeloid DC (cDC),,human,false,MHCII,MHCII,ambiguous,annotation_marker,positive,Results p.4,CD11c+/MHCII+/CD14- are classical myeloid DC (cDC),1.0,True,exclude,MHCII 非唯一基因且细胞类型不在项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,classical myeloid DC (cDC),,human,false,CD14,CD14,exact,annotation_marker,negative,Results p.4,CD11c+/MHCII+/CD14- are classical myeloid DC (cDC),1.0,True,exclude,CD14- 用于定义 cDC，但 cDC 不属于项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,cDC1,CD141(THBD)+ XCR1+,human,false,THBD,THBD,exact,annotation_marker,positive,Results p.4,cDC1 that are CD141(THBD)+ and XCR1+,1.0,True,exclude,cDC1 不属于项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,cDC1,CD141(THBD)+ XCR1+,human,false,XCR1,XCR1,exact,annotation_marker,positive,Results p.4,cDC1 that are CD141(THBD)+ and XCR1+,1.0,True,exclude,cDC1 不属于项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,cDC2,CD1c+,human,false,CD1c,CD1C,alias_resolved,annotation_marker,positive,Results p.4,cDC2 that express CD1c,1.0,True,exclude,cDC2 不属于项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,MNP cluster,MNPc,human,false,CD1C,CD1C,exact,cluster_enriched,positive,Fig. 3C,"Some cells in this cluster expressed CD1C, XCR1, CLEC9A and CD141 (THBD) indicating that it included cDC1 and cDC2 cells",1.0,True,exclude,MNP 簇不属于项目范围，且该证据仅为表达富集。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,MNP cluster,MNPc,human,false,XCR1,XCR1,exact,cluster_enriched,positive,Fig. 3C,"Some cells in this cluster expressed CD1C, XCR1, CLEC9A and CD141 (THBD) indicating that it included cDC1 and cDC2 cells",1.0,True,exclude,MNP 簇不属于项目范围，且该证据仅为表达富集。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,MNP cluster,MNPc,human,false,CLEC9A,CLEC9A,exact,cluster_enriched,positive,Fig. 3C,"Some cells in this cluster expressed CD1C, XCR1, CLEC9A and CD141 (THBD) indicating that it included cDC1 and cDC2 cells",1.0,True,exclude,MNP 簇不属于项目范围，且该证据仅为表达富集。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,MNP cluster,MNPc,human,false,THBD,THBD,exact,cluster_enriched,positive,Fig. 3C,"Some cells in this cluster expressed CD1C, XCR1, CLEC9A and CD141 (THBD) indicating that it included cDC1 and cDC2 cells",1.0,True,exclude,MNP 簇不属于项目范围，且该证据仅为表达富集。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,pelvic epithelium (PE),,human,false,KRT17,KRT17,exact,author_declared,positive,"Fig. 4B, S19A",CK17 (KRT17)+ cells (a marker of PE) in human kidney pelvis express CXCL8 and LCN2,1.0,True,exclude,肾盂上皮不属于 PNS/神经内分泌/肠内分泌项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,neutrophils,LysMhigh/CD11b+,mouse,false,LysM,LysM,ambiguous,cluster_enriched,positive,"Fig. 4D, S19C",accumulation of LysMhigh/CD11b+ neutrophils in the PE,1.0,True,exclude,小鼠中性粒细胞，且 LysM 为转基因/报告基因标记，无法唯一映射；亦不在项目范围。
DOI_10.1126_science.aat5031,22,no_formal_target_marker,neutrophils,LysMhigh/CD11b+,mouse,false,CD11b,ITGAM,alias_resolved,cluster_enriched,positive,"Fig. 4D, S19C",accumulation of LysMhigh/CD11b+ neutrophils in the PE,1.0,True,exclude,小鼠来源中性粒细胞标记，与任务物种 Homo sapiens 不符，且细胞类型不在项目范围。
