paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA1-astrocytes,,mouse,false,Pax6,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA1-astrocytes,,mouse,false,Reln,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA2-astrocytes,,mouse,false,Nkx6-1,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA2-astrocytes,,mouse,false,Pax6,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA2-astrocytes,,mouse,false,Reln,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA2-astrocytes,,mouse,false,Slit1,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA3-astrocytes,,mouse,false,Nkx6-1,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,VA3-astrocytes,,mouse,false,Slit1,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,astrocytes,posterior,mouse,false,Hoxb4,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
DOI_10.1038_s41586-024-07069-w,DOI_10.1038_s41586-024-07069-w,primary,astrocytes,posterior,mouse,false,Hoxc6,author_declared,,positive,,formal_candidate,"Fig. 4 legend, panel i","colored by gene expression of marker genes which appear specific to anterior (Otx2 +) or posterior (Hoxb4 +, Hoxd4 +, Hoxc6 +) astrocytes, VA1-astrocytes (Pax6 +, Reln +), VA2-astrocytes (Pax6 +, Reln +, Nkx6-1 +, Slit1 +), and VA3-astrocytes (Nkx6-1 +, Slit1 +).",pending,,,
