paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1126_science.abo0510,35,no_formal_target_marker,human embryonic mesodermal progenitors (hEMPs),,human,false,CD326,EPCAM,alias_resolved,annotation_marker,negative,"Materials and Methods, Cell cultures for artificial thymic organoid (ATO), p.3","Cells were harvested 3.5 days later, and isolated by FACS for CD326–CD56+ ... human embryonic mesodermal progenitors (hEMPs).",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于胚胎中胚层祖细胞。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,human embryonic mesodermal progenitors (hEMPs),,human,false,CD56,NCAM1,alias_resolved,annotation_marker,positive,"Materials and Methods, Cell cultures for artificial thymic organoid (ATO), p.3","Cells were harvested 3.5 days later, and isolated by FACS for CD326–CD56+ ... human embryonic mesodermal progenitors (hEMPs).",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于胚胎中胚层祖细胞。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,LYVE1hi macrophages,LYVE1hi,human,false,F13A1,F13A1,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","Macrophage subsets were annotated by analysis of marker genes ... groupings were defined as follows: “LYVE1hi” expressing F13A1, LYVE1, and SPP1;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,LYVE1hi macrophages,LYVE1hi,human,false,LYVE1,LYVE1,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","Macrophage subsets were annotated by analysis of marker genes ... groupings were defined as follows: “LYVE1hi” expressing F13A1, LYVE1, and SPP1;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,LYVE1hi macrophages,LYVE1hi,human,false,SPP1,SPP1,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","Macrophage subsets were annotated by analysis of marker genes ... groupings were defined as follows: “LYVE1hi” expressing F13A1, LYVE1, and SPP1;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Iron-recycling macrophages,Iron-recycling,human,false,SLC40A1,SLC40A1,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Iron-recycling macrophages,Iron-recycling,human,false,TIMD4,TIMD4,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Iron-recycling macrophages,Iron-recycling,human,false,CD5L,CD5L,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Iron-recycling macrophages,Iron-recycling,human,false,VCAM1,VCAM1,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Iron-recycling macrophages,Iron-recycling,human,false,APOE,APOE,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Iron-recycling” expressing the highest levels of ferroportin (SLC40A1) and phosphatidylserine receptor TIMD4 but best characterized by expression of CD5L, VCAM1, and APOE;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,MHC class IIhi macrophages,MHC class IIhi,human,false,HLA-DRA,HLA-DRA,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“MHC class IIhi” expressing the highest levels of HLA-DRA, HLA-DPA1, and CLEC7A among macrophages;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,MHC class IIhi macrophages,MHC class IIhi,human,false,HLA-DPA1,HLA-DPA1,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“MHC class IIhi” expressing the highest levels of HLA-DRA, HLA-DPA1, and CLEC7A among macrophages;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,MHC class IIhi macrophages,MHC class IIhi,human,false,CLEC7A,CLEC7A,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“MHC class IIhi” expressing the highest levels of HLA-DRA, HLA-DPA1, and CLEC7A among macrophages;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Kupffer-like macrophages,Kupffer-like,human,false,ENG,ENG,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Kupffer-like” expressing endothelial transcripts ENG, KDR, and CAV;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Kupffer-like macrophages,Kupffer-like,human,false,KDR,KDR,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Kupffer-like” expressing endothelial transcripts ENG, KDR, and CAV;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Kupffer-like macrophages,Kupffer-like,human,false,CAV,CAV,ambiguous,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6","“Kupffer-like” expressing endothelial transcripts ENG, KDR, and CAV;",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），且 CAV 为家族名称，无法唯一映射到基因。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,TREM2 macrophages,TREM2,human,false,TREM2,TREM2,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6",“TREM2” with expression of microglia-associated transcripts TREM2 and P2RY12;,1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,TREM2 macrophages,TREM2,human,false,P2RY12,P2RY12,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6",“TREM2” with expression of microglia-associated transcripts TREM2 and P2RY12;,1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于巨噬细胞亚群。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Osteoclasts,Osteoclasts,human,false,MMP9,MMP9,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6",“Osteoclasts” expressing characteristic MMP9 and ACP5;,1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于破骨细胞。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Osteoclasts,Osteoclasts,human,false,ACP5,ACP5,exact,annotation_marker,positive,"Materials and Methods, scRNA-seq analysis, Data integration and annotation, p.6",“Osteoclasts” expressing characteristic MMP9 and ACP5;,1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于破骨细胞。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,B cells,,human,false,CD3,CD3,ambiguous,annotation_marker,negative,"Materials and Methods, B1 functional validation experiment, p.14",B cells were gated as singlet DAPI–CD3–CD20+ cells.,1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于B细胞门控；且CD3为复合物，无法唯一映射到具体基因。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,B cells,,human,false,CD20,MS4A1,alias_resolved,annotation_marker,positive,"Materials and Methods, B1 functional validation experiment, p.14",B cells were gated as singlet DAPI–CD3–CD20+ cells.,1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于B细胞门控。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Plasma cells,,human,false,CD20,MS4A1,alias_resolved,annotation_marker,negative,"Materials and Methods, B1 functional validation experiment, p.14",Plasma cells should generally be CD20lo and therefore not included.,1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于浆细胞排除门控。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,Plasma cells,,human,false,CD38,CD38,exact,annotation_marker,positive,"Materials and Methods, B1 functional validation experiment, p.14","To further exclude plasma cell contamination, we also gated out the top 1% of B cells expressing the highest level of CD38.",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于浆细胞排除门控。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,B cells,CCR10hi,human,false,CCR10,CCR10,exact,annotation_marker,positive,"Materials and Methods, B1 functional validation experiment, p.14","The rest of the B cells were then sorted into four fractions: CCR10hi, CCR10loCD27+CD43+, CCR10loCD27–CD43+, and CCR10loCD27–CD43–.",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于B细胞亚群分选。
DOI_10.1126_science.abo0510,35,no_formal_target_marker,B cells,CCR10loCD27+CD43+,human,false,CCR10,CCR10,exact,annotation_marker,negative,"Materials and Methods, B1 functional validation experiment, p.14","The rest of the B cells were then sorted into four fractions: CCR10hi, CCR10loCD27+CD43+, CCR10loCD27–CD43+, and CCR10loCD27–CD43–.",1.0,True,exclude,非任务目标细胞（Enteroendocrine cell），属于B细胞亚群分选。
