paper_id,pool,cell_type,subtype,species,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,old_decision,old_reason,old_citation_verified,task_no,citation_match_score,citation_verified,markdown_sha256_match,gate1_status
DOI_10.1002_pros.24020,A_exclude,neuroendocrine epithelia,,mouse,CHGA,CHGA,exact,annotation_marker,positive,Results 3.1 / Fig. S3A,"neuroendocrine epithelia ... can be identified using known markers such as CGRP and CHGA (Figure S3A,C); mouse panel S3A.",exclude,物种为 mouse，与任务物种 human 不一致；保留为比较物种记录，不计入项目总表。,True,24,1.0,True,True,duplicate_existing
DOI_10.1002_pros.24020,A_downgraded,neuroendocrine epithelia,,human,CGRP,CGRP,ambiguous,annotation_marker,positive,Results 3.1 / Fig. S3C,"neuroendocrine epithelia ... can be identified using known markers such as CGRP and CHGA (Figure S3A,C); human panel S3C.",unresolved,CGRP 为肽段/蛋白名，可对应 CALCA 或 CALCB，论文未给出唯一基因符号，无法唯一解析，不能进入总表。,True,24,0.9231,True,True,fail_symbol
DOI_10.1002_pros.24020,B_unaudited,prostate secretory luminal cells,,mouse,CD24,CD24,,author_declared,positive,Results 3.3,"cell surface marker CD24 (Cd24a) labels prostate luminal cells, but also luminal cells of the ejaculatory ducts and urethra",never_audited,,,24,0.72,True,True,pass
DOI_10.1002_pros.24020,B_unaudited,human urethral luminal cells,,human,PSCA,PSCA,,author_declared,positive,Results 3.5,We previously established PSCA as a highly specific cell surface marker capable of capturing a 94% pure population of urethral luminal cells in humans.,never_audited,,,24,0.8824,True,True,pass
DOI_10.1016_j.cell.2017.09.004,A_exclude,b-cells,,human,INS,INS,exact,annotation_marker,positive,Fig. 2A legend; Fig. 1A legend,"Expression of cell-typical (INS for b-cells, GCG for a-cells) and non-typical hormone in cells, ranked by transcriptional noise. Cell identity is indicated by marker gene expression.",exclude,"Formal marker for pancreatic beta cells, but b-cells are not in target_cell_scope (L4:Type D enteroendocrine cell).",True,28,0.7647,True,True,pass
DOI_10.1016_j.cell.2017.09.004,A_exclude,a-cells,,human,GCG,GCG,exact,annotation_marker,positive,Fig. 2A legend; Fig. 1A legend,"Expression of cell-typical (INS for b-cells, GCG for a-cells) and non-typical hormone in cells, ranked by transcriptional noise. Cell identity is indicated by marker gene expression.",exclude,"Formal marker for pancreatic alpha cells, but a-cells are not in target_cell_scope (L4:Type D enteroendocrine cell).",True,28,0.7647,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,goblet cells,AZGP1high goblet,human,AZGP1,AZGP1,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 4",goblet cells were split into 4 distinct sets: ... AZGP1high goblet cells,exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,False,20,0.0,False,True,fail_citation
DOI_10.1016_j.cell.2021.07.023,A_exclude,hillock-like cells,KRT13+ hillock-like,human,KRT13,KRT13,exact,annotation_marker,positive,"STAR Methods, Cell Clustering and Annotation, paragraph 4",KRT24highKRT13high secretory cells (which are similar to previously-described KRT13+ 'hillock' cells),exclude,非目标细胞类型；KRT13 实际用于 KRT24highKRT13high secretory 亚型，不在 Enteroendocrine cell 范围。,True,20,0.72,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,basal cells,,human,TP63,TP63,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we identified basal cells by their expression of TP63, KRT15, and KRT5",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8571,True,True,pass
DOI_10.1016_j.cell.2021.07.023,A_exclude,basal cells,,human,KRT15,KRT15,exact,annotation_marker,positive,Results: 'Defining cellular diversity in the human nasopharyngeal mucosa' (p.4714),"we identified basal cells by their expression of TP63, KRT15, and KRT5",exclude,非目标细胞类型（target scope: L4:Enteroendocrine cell）；排除并保留追溯。,True,20,0.8571,True,True,pass
