paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s41586-021-04345-x,7,corrected,Hillock-like populations,,human,false,KRT14,KRT14,exact,cluster_enriched,positive,"Results, section 'Novel cell subtypes in airway epithelia'","we identify three Hillock-like populations14,26,27. The latter are all marked by KRT14, KRT6A and KRT13",1,True,exclude,Hillock-like 细胞非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,Hillock-like populations,,human,false,KRT6A,KRT6A,exact,cluster_enriched,positive,"Results, section 'Novel cell subtypes in airway epithelia'","The latter are all marked by KRT14, KRT6A and KRT13",1,True,exclude,Hillock-like 细胞非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,Hillock-like populations,,human,false,KRT13,KRT13,exact,cluster_enriched,positive,"Results, section 'Novel cell subtypes in airway epithelia'","The latter are all marked by KRT14, KRT6A and KRT13",1,True,exclude,Hillock-like 细胞非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,mono IL-6+,,human,false,IL-6,IL6,alias_resolved,annotation_marker,positive,"Results, section 'Novel cell subtypes in airway epithelia'","monocytes fall into clearly distinct clusters, annotated by their highly expressed markers as mono IL-6+, mono GPBAR1+ and mono CXCL10+",1,True,exclude,单核细胞亚群非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,mono GPBAR1+,,human,false,GPBAR1,GPBAR1,exact,annotation_marker,positive,"Results, section 'Novel cell subtypes in airway epithelia'","monocytes fall into clearly distinct clusters, annotated by their highly expressed markers as mono IL-6+, mono GPBAR1+ and mono CXCL10+",1,True,exclude,单核细胞亚群非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,mono CXCL10+,,human,false,CXCL10,CXCL10,exact,annotation_marker,positive,"Results, section 'Novel cell subtypes in airway epithelia'","monocytes fall into clearly distinct clusters, annotated by their highly expressed markers as mono IL-6+, mono GPBAR1+ and mono CXCL10+",1,True,exclude,单核细胞亚群非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,epithelial cells,,human,false,EPCAM,EPCAM,exact,author_declared,positive,"Results, Fig. 2g validation paragraph",staining for both calprotectin subunit S100A9 and the epithelial marker EPCAM in a posterior nasal space biopsy of an adult COVID-19 patient,1,True,exclude,上皮细胞非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,CD8+ cytotoxic T lymphocytes (CTLs),,human,false,CD8,CD8A/CD8B,ambiguous,cluster_enriched,positive,"Results, section 'Reduced cytotoxic response in children'","adult COVID-19 patients is characterised by an increased cytotoxic compartment, where CD8+ cytotoxic T lymphocytes (CTLs) and effector memory cells re-expressing CD45RA are significantly more abundant",1,True,exclude,T 细胞亚群非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,effector memory cells re-expressing CD45RA,,human,false,CD45RA,PTPRC,alias_resolved,cluster_enriched,positive,"Results, section 'Reduced cytotoxic response in children'",CD8+ cytotoxic T lymphocytes (CTLs) and effector memory cells re-expressing CD45RA are significantly more abundant in adults,1,True,exclude,T 细胞亚群非 L4:Neuroendocrine cell 目标范围
DOI_10.1038_s41586-021-04345-x,7,corrected,CD4+ CTLs,,human,false,CD4,CD4,exact,cluster_enriched,positive,"Results, section 'Reduced cytotoxic response in children'","the latter populations, natural killer cells and CD4+ CTLs are reduced in paediatric COVID-19 patients",1,True,exclude,T 细胞亚群非 L4:Neuroendocrine cell 目标范围
