paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1016_j.celrep.2018.11.086,25,corrected,neuroendocrine cells (NE epithelia),,human,true,CHGA / chromogranin A,CHGA,alias_resolved,annotation_marker,positive,"Results: Single-Cell Sequencing of the Normal Human Prostate..., p.3532; Figure S6D; Introduction",A marker gene for NE cells that was discovered in our dataset (SCG2) was tested in combination with a known NE cell marker (CHGA) and confirmed in situ (Figure S6D). NE epithelia express markers such as chromogranin A.,0.0,True,include,CHGA 作为已知 NE marker 实际用于识别和原位验证 NE 细胞，属于正式 marker。; 自动复核：去空格连续窗口复检通过（PDF 粘连文本）
DOI_10.1016_j.celrep.2018.11.086,25,corrected,neuroendocrine cells,,human,true,SCG2,SCG2,exact,annotation_marker,positive,"Results: Single-Cell Sequencing of the Normal Human Prostate..., p.3532; Figure S6D",A marker gene for NE cells that was discovered in our dataset (SCG2) was tested in combination with a known NE cell marker (CHGA) and confirmed in situ.,0.9286,True,include,作者明确称 SCG2 为 NE 细胞的 marker gene，并用于原位验证，属于正式 marker。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,neuroendocrine cells,,human,true,CHGB,CHGB,exact,cluster_enriched,positive,"Results: Bulk Sequencing..., p.3531",classic neuroendocrine lineage markers such as CHGA and CHGB (as DEGs in other epithelial gate),0.0,True,context_only,CHGB 仅作为 bulk DEG 中的经典 NE 谱系 marker 提及，未用于本文 NE 细胞识别/注释，属于表达富集证据。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,basal epithelia,,human,false,DKK1,DKK1,exact,cluster_enriched,positive,"Results: Bulk Sequencing..., p.3531","DKK1, characterize CD271+ basal epithelia.",1.0,True,exclude,basal epithelia 不属于任务目标 L4:Neuroendocrine cell。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,basal epithelia,,human,false,CD271,NGFR,alias_resolved,annotation_marker,positive,"Results: Bulk Sequencing..., p.3531; Introduction; Discussion, p.3539-3540","Several other options exist for identifying basal epithelia, including Podoplanin, CD104, and CD271; Luminal (CD26+) and basal (CD271+) epithelial transcriptomes; The gating of BE with either CD271 or PDPN produces >91% purity.",0.85,True,exclude,basal epithelia 非目标范围，且 CD271 为 NGFR 别名。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,basal epithelia,,human,false,CD104,ITGB4,alias_resolved,annotation_marker,positive,"Results: Bulk Sequencing..., p.3531","Several other options exist for identifying basal epithelia, including Podoplanin, CD104, and CD271",0.8,True,exclude,basal epithelia 非目标范围。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,basal epithelia,,human,false,PDPN,PDPN,exact,annotation_marker,positive,"Results: Single-Cell Sequencing..., p.3534; Discussion","PDPN was used to mark BE, which we previously showed largely overlaps with CD271; The gating of BE with either CD271 or PDPN produces >91% purity.",0.8462,True,exclude,basal epithelia 非目标范围。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,basal epithelia,,human,false,KRT5,KRT5,exact,figure_labeled,positive,"Figure 3E legend, p.3535","Immunofluorescent labeling of smooth muscle (MYH11), fibroblasts (DCN), and basal epithelia (KRT5).",0.9,True,exclude,basal epithelia 非目标范围。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,basal epithelia,,human,false,KRT14,KRT14,exact,annotation_marker,positive,"Results: Identification and Isolation of Epithelial Cell Subtypes, p.3537","DEGs of each cluster confirm four epithelial cell types (luminal KLK3+, basal KRT14+, OE1 SCGB1A1+, and OE2 KRT13+)",1.0,True,exclude,basal epithelia 非目标范围。
DOI_10.1016_j.celrep.2018.11.086,25,corrected,basal epithelia,,human,false,CD49f,ITGA6,alias_resolved,reference_imported,positive,"Results: Bulk Sequencing..., p.3531","Some groups employ a pan-epithelial marker (CD326, CD324, or TROP2) with a positive basal marker like CD49f",0.7273,True,exclude,basal epithelia 非目标范围，且为外部引用。
