paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Fast myocytes,,human,false,MYH2,author_declared,,positive,,formal_candidate,"Page 13, fig. S9",Fast myocytes specifically expressed the type 2 fiber marker MYH2 (FDR < 10−15 in cytoplasmic myonuclei),pending,,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Mo/MΦ FCGR3Ahigh,,human,false,FCGR3A,annotation_marker,,positive,,formal_candidate,"Page 8, Fig. 3B",two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers,pending,,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Mo/MΦ FCGR3Alow,,human,false,FCGR3A,annotation_marker,,positive,,formal_candidate,"Page 8, Fig. 3B",two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations with coexpression of both monocyte and macrophage markers,pending,,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Adipocytes,,human,false,ADIPOQ,cluster_enriched,,positive,,context_only,"Page 14, fig. S26","up-regulation of hallmark fibroblast, adipocyte, and immune genes, likely because of changes in cell proportions (e.g., COL6A2, ADIPOQ, and HLA-A, respectively)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Adipocytes,,human,false,ANGPTL8,cluster_enriched,,positive,,context_only,"Page 17, Fig. 7E/table S20","HDL cholesterol traits was associated with adipocytes in all three muscle tissues and enriched for fatty acid, triglyceride, and lipid homeostasis... including ANGPTL8 and PNPLA3",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Adipocytes,,human,false,PNPLA3,cluster_enriched,,positive,,context_only,"Page 17, Fig. 7E/table S20","HDL cholesterol traits was associated with adipocytes in all three muscle tissues and enriched for fatty acid, triglyceride, and lipid homeostasis... including ANGPTL8 and PNPLA3",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Alveolar fibroblasts,,human,false,CACNA1D,cluster_enriched,,positive,,context_only,"Page 11, Fig. 4E-G/fig. S18D","multiple calcium channels and adrenergic and purinergic receptors ... (CACNA1D, TRPC6, MCOLN2/TRPML2)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Alveolar fibroblasts,,human,false,FGFR4,cluster_enriched,,positive,,context_only,"Page 11, Fig. 4B","Alveolar fibroblasts also specifically expressed FGFR4 (Fig. 4B), which is essential for alveologenesis in mice",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Alveolar fibroblasts,,human,false,MCOLN2/TRPML2,cluster_enriched,,positive,,context_only,"Page 11, Fig. 4E-G/fig. S18D","multiple calcium channels and adrenergic and purinergic receptors ... (CACNA1D, TRPC6, MCOLN2/TRPML2)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Alveolar fibroblasts,,human,false,MYLK,cluster_enriched,,positive,,context_only,"Page 11, Fig. 4E-G/fig. S18D","myosin light chain kinase (MYLK), which is involved in mediating calcium-induced actomyosin contraction",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Alveolar fibroblasts,,human,false,PIEZO2,cluster_enriched,,positive,,context_only,"Page 11, Fig. 4E-G/fig. S18D",lung alveolar fibroblasts distinctively expressed a calcium signaling and actomyosin contractility program ... including ... PIEZO2 ...,excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Alveolar fibroblasts,,human,false,TRPC6,cluster_enriched,,positive,,context_only,"Page 11, Fig. 4E-G/fig. S18D","multiple calcium channels and adrenergic and purinergic receptors ... (CACNA1D, TRPC6, MCOLN2/TRPML2)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,CD14+ monocytes,,human,false,CD14,cluster_enriched,annotation_marker,positive,,context_only,"Page 8, Fig. 3B","These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations...",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,CD16+ monocytes,,human,false,CD16,cluster_enriched,annotation_marker,positive,,context_only,"Page 8, Fig. 3B","These included CD16+ monocytes, CD14+ monocytes, two transitional Mo/MΦ FCGR3Alow and Mo/MΦ FCGR3Ahigh populations...",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,CD207/Langerin+ Langerhans cells,,human,false,CD207/Langerin,cluster_enriched,annotation_marker,positive,,context_only,"Page 8, Fig. 3C","CD207/Langerin+ Langerhans cells, which were present only (97%) in skin and esophagus mucosa...",excluded_by_rule,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文,缺少作者 marker/注释措辞，降级为表达或富集上下文
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Cardiac fibroblasts,,human,false,GATA4,cluster_enriched,,positive,,context_only,"Page 10, Table S8","The cardiac fibroblast signature genes included TFs involved in cardiac development (e.g., GATA4 and GATA6)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Cardiac fibroblasts,,human,false,GATA6,cluster_enriched,,positive,,context_only,"Page 10, Table S8","The cardiac fibroblast signature genes included TFs involved in cardiac development (e.g., GATA4 and GATA6)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
DOI_10.1126_science.abl4290,DOI_10.1126_science.abl4290,primary,Esophagus mucosa fibroblasts,,human,false,FGF13,cluster_enriched,,positive,,context_only,"Page 10, Table S8","the esophagus mucosa fibroblast signature (table S8) included genes involved in neuron and axon development (e.g., NTN1, PLXNB1, FGF13)",excluded_by_rule,非正式 marker 证据；仅保留上下文,,
