cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_level,source_section,source_context,review_status,notes
AT1 cells,,human,false,SPOCK2,explicit,Results p.28 (Figure 4Q),"NKX2.1+, SPOCK2+ differentiating AT1 cells emerged at the SFTPC- stalk regions",pending,
AT2 cells,,human,false,ACE2,explicit,Figure 3A,ACE2 were upregulated in AT2 differentiation,pending,
AT2 cells,,human,false,HOPX,explicit,Figure 3C,"AT2-specific LAMP3, HOPX, and ACE2",pending,
AT2 cells,,human,false,LAMP3,explicit,Results p.21 (qRT-PCR),"AT2-specific LAMP3, HOPX, and ACE2",pending,
AT2 cells,,human,false,SFTPC,explicit,Figure S1C–S1E,"co-expressed AT2 cell markers, SFTPC, and HTII-280.",pending,
AT2 cells,,human,false,SLC34A2,explicit,Results p.21,"alveolar lineage markers, such as SFTPC, LAMP3, and SLC34A2",pending,
airway progenitors,,human,false,SOX2,explicit,Results p.21-22,"CD44-CD36- cells had higher levels of TP63 and SOX2, indicating that they are derived from more proximal airway-lineage cells.",pending,
airway progenitors,,human,false,TP63,explicit,Results p.21-22,"CD44-CD36- cells had higher levels of TP63 and SOX2, indicating that they are derived from more proximal airway-lineage cells.",pending,
alveolar fibroblasts,,human,false,FGFR4,explicit,Results p.26,PDGFRA-CD141- fibroblasts express high levels of WNT2 and FGFR4.,pending,
alveolar fibroblasts,,human,false,WNT2,explicit,Results p.26 (Figure 4E),PDGFRA-CD141- fibroblasts express high levels of WNT2 and FGFR4.,pending,
late-tip cell,,human,false,CD36,explicit,Results (Figure 2),"Our LinPOS organoids are derived from the CD44+,CD36+ 17–21 pcw tips.",pending,
late-tip cell,,human,false,CD44,explicit,Results (Figure 2),"Our LinPOS organoids are derived from the CD44+,CD36+ 17–21 pcw tips.",pending,
myofibroblasts,,human,false,ACTA2,explicit,Results p.26 (Figure 4E),"Isolated PDGFRA+CD141+ myofibroblasts express high levels of ACTA2, NOTUM, and LEF1.",pending,
myofibroblasts,,human,false,LEF1,explicit,Results p.26,"Isolated PDGFRA+CD141+ myofibroblasts express high levels of ACTA2, NOTUM, and LEF1.",pending,
myofibroblasts,,human,false,NOTUM,explicit,Results p.26,"Isolated PDGFRA+CD141+ myofibroblasts express high levels of ACTA2, NOTUM, and LEF1.",pending,
tip epithelial cells,late stage,human,false,CD36,explicit,Results p.21,"CD36 is specific to the ≥15–22 pcw stage tips where it is co-expressed with CD44, SFTPC and SOX9.",pending,
tip epithelial cells,,human,false,CD44,explicit,Results p.21,CD44 marks tip epithelial cells across all stages of lung development tested.,pending,
tip epithelial cells,,human,false,SOX2,explicit,Results p.21,"10–12 pcw distal tips were columnar and marked by SOX9, SOX2, and TPPP3.",pending,
tip epithelial cells,,human,false,SOX9,explicit,Results p.21 (Immunostaining),"10–12 pcw distal tips were columnar and marked by SOX9, SOX2, and TPPP3.",pending,
tip epithelial cells,,human,false,TPPP3,explicit,Results p.21,"10–12 pcw distal tips were columnar and marked by SOX9, SOX2, and TPPP3.",pending,
basal cell,,human,false,TP63,implied,Results (Figure 5),Our independent single-cell ATAC-seq data ... showed that in vivo alveolar-fated cells ... while the basal cells have TP63 motifs.,pending,
stalk cells,,human,false,PDPN,implied,Results p.21,SOX9+/PDPN+ tip-adjacent (stalk) cells,pending,
