paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,AT2 cell,,human,false,SFTPA,author_declared,,positive,,formal_candidate,Results: 'Late epithelial tip cells acquire alveolar identity...',AT2 markers SFTPC and SFTPA were detected readily in late-tip cells,pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,AT2 cell,,human,false,SFTPC,author_declared,,positive,,formal_candidate,Results: 'Late epithelial tip cells acquire alveolar identity...',AT2 markers SFTPC and SFTPA were detected readily in late-tip cells,pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,GHRL+ neuroendocrine cell,,human,false,NEUROD1,author_declared,,positive,,formal_candidate,Results: 'Transcriptional control of neuroendocrine cell subtype formation',these two TFs coincide with the scRNA-seq marker genes and scATAC-seq TF motif enrichment of our fetal NE cells; NEUROD1 was co-expressed with GHRL,pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,airway progenitor,,human,false,CLDN4,author_declared,,positive,,formal_candidate,Results: 'Predicted airway epithelial differentiation trajectories',"airway progenitors upregulate marker genes associated with airway fates, including CYTL1, CLDN4, and SCGB3A2",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,airway progenitor,,human,false,CYTL1,author_declared,,positive,,formal_candidate,Results: 'Predicted airway epithelial differentiation trajectories',"airway progenitors upregulate marker genes associated with airway fates, including CYTL1, CLDN4, and SCGB3A2",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,airway progenitor,,human,false,SCGB3A2,author_declared,,positive,,formal_candidate,Results: 'Predicted airway epithelial differentiation trajectories',"airway progenitors upregulate marker genes associated with airway fates, including CYTL1, CLDN4, and SCGB3A2",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,intermediate neuroendocrine cell,,human,false,NEUROG3,author_declared,,positive,,formal_candidate,Results: 'Transcriptional control of neuroendocrine cell subtype formation',a small number of cells expressing the unique marker NEUROG3,pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,neuroendocrine cell,,human,false,CHGA,author_declared,,positive,,formal_candidate,Results: 'Transcriptional control of neuroendocrine cell subtype formation',"they were both observed along a maturation trajectory and shared classical NE markers (CHGA, SYP)",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,neuroendocrine cell,,human,false,SYP,author_declared,,positive,,formal_candidate,Results: 'Transcriptional control of neuroendocrine cell subtype formation',"they were both observed along a maturation trajectory and shared classical NE markers (CHGA, SYP)",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,pulmonary neuroendocrine cell,classical,human,false,ASCL1,author_declared,,positive,,formal_candidate,Results: 'Transcriptional control of neuroendocrine cell subtype formation',these two TFs coincide with the scRNA-seq marker genes and scATAC-seq TF motif enrichment of our fetal NE cells; ASCL1 was co-expressed with GRP,pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,tip cell,,human,false,ETV5,author_declared,,positive,,formal_candidate,Results: 'Late epithelial tip cells acquire alveolar identity...',"Tip cells express a core set of tip-specific markers (SOX9+, ETV5+, TESC+, TPPP3+, and STC1+).",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,tip cell,,human,false,FOXP2,author_declared,,positive,,formal_candidate,Results: 'Predicted airway epithelial differentiation trajectories',"Stalk cells lose some tip markers, including FOXP2 and SOX9.",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,tip cell,,human,false,SOX9,author_declared,,positive,,formal_candidate,Results: 'Late epithelial tip cells acquire alveolar identity...',"Tip cells express a core set of tip-specific markers (SOX9+, ETV5+, TESC+, TPPP3+, and STC1+).",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,tip cell,,human,false,STC1,author_declared,,positive,,formal_candidate,Results: 'Late epithelial tip cells acquire alveolar identity...',"Tip cells express a core set of tip-specific markers (SOX9+, ETV5+, TESC+, TPPP3+, and STC1+).",pending,,,
DOI_10.1016_j.cell.2022.11.005,DOI_10.1016_j.cell.2022.11.005,primary,tip cell,,human,false,TESC,author_declared,,positive,,formal_candidate,Results: 'Late epithelial tip cells acquire alveolar identity...',"Tip cells express a core set of tip-specific markers (SOX9+, ETV5+, TESC+, TPPP3+, and STC1+).",pending,,,
