paper_id,document_id,document_role,cell_type,subtype,species,is_pns_cell,gene_symbol,evidence_type,model_evidence_type,marker_polarity,model_marker_polarity,candidate_class,source_locator,source_context,review_status,exclusion_reason,guardrail_reason,notes
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 1,,human,false,FP236383.2,author_declared,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","Distinguishing markers for these two clusters are two long non-coding RNAs, FP671120.4 and FP236383.2 for both",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 1,,human,false,FP671120.4,author_declared,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","Distinguishing markers for these two clusters are two long non-coding RNAs, FP671120.4 and FP236383.2 for both",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 2,,human,false,FP236383.2,author_declared,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","Distinguishing markers for these two clusters are two long non-coding RNAs, FP671120.4 and FP236383.2 for both",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 2,,human,false,FP671120.4,author_declared,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","Distinguishing markers for these two clusters are two long non-coding RNAs, FP671120.4 and FP236383.2 for both",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,epithelial cells,,human,false,EPCAM,author_declared,,positive,,formal_candidate,"Results, Fig. 2g validation paragraph",staining for both calprotectin subunit S100A9 and the epithelial marker EPCAM in a posterior nasal space biopsy of an adult COVID-19 patient,pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 1,,human,false,FOXJ1,annotation_marker,,unknown,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","They co-express ciliated cell markers (PIFO) and secretory genes (MUC2), but are FOXJ1 low",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 1,,human,false,MUC2,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","They co-express ciliated cell markers (PIFO) and secretory genes (MUC2), but are FOXJ1 low",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 1,,human,false,PIFO,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","They co-express ciliated cell markers (PIFO) and secretory genes (MUC2), but are FOXJ1 low",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 2,,human,false,FOXJ1,annotation_marker,,unknown,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","They co-express ciliated cell markers (PIFO) and secretory genes (MUC2), but are FOXJ1 low",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 2,,human,false,MUC2,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","They co-express ciliated cell markers (PIFO) and secretory genes (MUC2), but are FOXJ1 low",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,Transit epi 2,,human,false,PIFO,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","They co-express ciliated cell markers (PIFO) and secretory genes (MUC2), but are FOXJ1 low",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,ciliated 1,,human,false,OMG,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","the differentiation trajectory points from ciliated 1 (PIFO, OMG) to ciliated 2 (CFAP54, DZIP1L) cells",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,ciliated 1,,human,false,PIFO,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","the differentiation trajectory points from ciliated 1 (PIFO, OMG) to ciliated 2 (CFAP54, DZIP1L) cells",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,ciliated 2,,human,false,CFAP54,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","the differentiation trajectory points from ciliated 1 (PIFO, OMG) to ciliated 2 (CFAP54, DZIP1L) cells",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,ciliated 2,,human,false,DZIP1L,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","the differentiation trajectory points from ciliated 1 (PIFO, OMG) to ciliated 2 (CFAP54, DZIP1L) cells",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,club cells,,human,false,SCGB1A1,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","more differentiated club cells (SCGB1A1, SCGB3A1)",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,club cells,,human,false,SCGB3A1,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","more differentiated club cells (SCGB1A1, SCGB3A1)",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,goblet 1,TFF1-hi,human,false,TFF1,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation",subdivided into TFF1-hi goblet 1,pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,goblet 2,BPIFA2,human,false,BPIFA2,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","three distinct goblet 2 populations (BPIFA2, PLAU, and goblet 2 inflammatory cells)",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,goblet 2,PLAU,human,false,PLAU,annotation_marker,,positive,,formal_candidate,"Supplementary Information, Detailed Cell Type Annotation","three distinct goblet 2 populations (BPIFA2, PLAU, and goblet 2 inflammatory cells)",pending,,,
DOI_10.1038_s41586-021-04345-x,DOI_10.1038_s41586-021-04345-x,primary,mono CXCL10+,,human,false,CXCL10,annotation_marker,,positive,,formal_candidate,"Results, section 'Novel cell subtypes in airway epithelia'","monocytes fall into clearly distinct clusters, annotated by their highly expressed markers as mono IL-6+, mono GPBAR1+ and mono CXCL10+",pending,,,
