paper_id,task_no,paper_status,cell_type,subtype,species,in_project_scope,original_symbol,normalized_symbol,normalization_status,evidence_type,marker_polarity,source_locator,source_context,citation_match_score,citation_verified,decision,reason
DOI_10.1038_s41586-021-03929-x,32,corrected,sinusoidal endothelial cells,,human,false,CTSL,CTSL,exact,cluster_enriched,positive,"Results, 'Stromal cell heterogeneity in FBM', Fig. 3a context","One cluster expressed the characteristic sinusoidal endothelial cell genes CTSL, STAB2 and SELENOP (also known as SEPP1)...",1.0,True,exclude,非目标细胞类型（非 Schwann cell），属于项目范围外。
DOI_10.1038_s41586-021-03929-x,32,corrected,sinusoidal endothelial cells,,human,false,STAB2,STAB2,exact,cluster_enriched,positive,"Results, 'Stromal cell heterogeneity in FBM', Fig. 3a context","One cluster expressed the characteristic sinusoidal endothelial cell genes CTSL, STAB2 and SELENOP (also known as SEPP1)...",1.0,True,exclude,非目标细胞类型（非 Schwann cell），属于项目范围外。
DOI_10.1038_s41586-021-03929-x,32,corrected,sinusoidal endothelial cells,,human,false,SELENOP,SELENOP,exact,cluster_enriched,positive,"Results, 'Stromal cell heterogeneity in FBM', Fig. 3a context","One cluster expressed the characteristic sinusoidal endothelial cell genes CTSL, STAB2 and SELENOP (also known as SEPP1)...",1.0,True,exclude,非目标细胞类型（非 Schwann cell），属于项目范围外。
DOI_10.1038_s41586-021-03929-x,32,corrected,tip endothelial cells,non-sinusoidal,human,false,VIM,VIM,exact,cluster_enriched,positive,"Results, 'Stromal cell heterogeneity in FBM', Fig. 3a context","the other expressed high levels of VIM and CD34, associated with non-sinusoidal endothelial cells in mice",0.9,True,exclude,非目标细胞类型（非 Schwann cell），属于项目范围外。
DOI_10.1038_s41586-021-03929-x,32,corrected,tip endothelial cells,non-sinusoidal,human,false,CD34,CD34,exact,cluster_enriched,positive,"Results, 'Stromal cell heterogeneity in FBM', Fig. 3a context","the other expressed high levels of VIM and CD34, associated with non-sinusoidal endothelial cells in mice",0.9,True,exclude,非目标细胞类型（非 Schwann cell），属于项目范围外。
DOI_10.1038_s41586-021-03929-x,32,corrected,CD34hiVEGFR2lo branching vessels,metaphyseal vessels,human,false,CD34,CD34,exact,annotation_marker,positive,Fig. 3b legend / Results,we identified CD34hiVEGFR2lo branching vessels adjacent to the epiphyseal cartilage (metaphysis),1.0,True,exclude,非目标细胞类型（血管内皮），不属于 Schwann cell 范围。
DOI_10.1038_s41586-021-03929-x,32,corrected,CD34hiVEGFR2lo branching vessels,metaphyseal vessels,human,false,VEGFR2,KDR,alias_resolved,annotation_marker,positive,Fig. 3b legend / Results,we identified CD34hiVEGFR2lo branching vessels adjacent to the epiphyseal cartilage (metaphysis),1.0,True,exclude,非目标细胞类型（血管内皮），不属于 Schwann cell 范围。
DOI_10.1038_s41586-021-03929-x,32,corrected,CD34hiVEGFRlo metaphyseal vessels,,human,false,CD34,CD34,exact,cluster_enriched,positive,Fig. 3b legend,patterns of co-expression in CD34hiVEGFRlo metaphyseal vessels,1.0,True,exclude,非目标细胞类型（血管内皮），不属于 Schwann cell 范围。
DOI_10.1038_s41586-021-03929-x,32,corrected,CD34hiVEGFRlo metaphyseal vessels,,human,false,VEGFR,VEGFR,ambiguous,cluster_enriched,positive,Fig. 3b legend,patterns of co-expression in CD34hiVEGFRlo metaphyseal vessels,0.0,False,exclude,非目标细胞类型（血管内皮），且 VEGFR 无法唯一对应基因。
DOI_10.1038_s41586-021-03929-x,32,corrected,VEGFR2hiCD34lo cells,diaphyseal convoluted structures,human,false,VEGFR2,KDR,alias_resolved,cluster_enriched,positive,Fig. 3b legend / Results,VEGFR2hiCD34lo cells formed convoluted structures in more-distal regions (diaphysis),1.0,True,exclude,非目标细胞类型（血管内皮），不属于 Schwann cell 范围。
DOI_10.1038_s41586-021-03929-x,32,corrected,VEGFR2hiCD34lo cells,diaphyseal convoluted structures,human,false,CD34,CD34,exact,cluster_enriched,positive,Fig. 3b legend / Results,VEGFR2hiCD34lo cells formed convoluted structures in more-distal regions (diaphysis),1.0,True,exclude,非目标细胞类型（血管内皮），不属于 Schwann cell 范围。
